anio;region_sanitaria;municipio_id;municipio_nombre;establecimiento_id;establecimiento_nombre;dependencia;consultas_odontologicas;consultas_medicas;consultas_paramedicas;interconsultas;egresos;dias_camas_disponible;promedio_camas_disponibles;pacientes_dias;porcentaje_ocupacion;dias_estadia;promedio_dias_estadia;defunciones;giro_de_camas;tasa_mortalidad_hospitalaria
2005;I;060007;Adolfo Alsina;;Hospital Local General José de San Martín;Municipal;6424;94401;18888;0;1474;10963;30;4798;44;4529;3;42;49;3
2005;I;060007;Adolfo Alsina;;Hospital Dr. Noe Yarcho;Municipal;4493;18370;4459;0;471;10950;30;2184;20;2027;4;20;16;4
2005;I;060007;Adolfo Alsina;;Hogar de Ancianos General N. Levalle;Municipal;0;0;0;0;2;12740;35;11371;89;848;424;1;0;50
2005;I;060007;Adolfo Alsina;;Hospital Demetrio Carmelo Loyarte;Municipal;0;2024;846;0;120;6570;18;278;4;279;2;1;7;1
2005;I;060007;Adolfo Alsina;;Unidad Sanitaria San Miguel Arcangel;Municipal;3086;2196;0;0;0;0;0;0;0;0;0;0;0;0
2005;I;060007;Adolfo Alsina;;Unidad Sanitaria Colonia Lapin;Municipal;0;601;0;0;0;0;0;0;0;0;0;0;0;0
2005;I;060007;Adolfo Alsina;;Unidad Sanitaria Dr. J.C. Senepart;Municipal;0;608;0;0;0;0;0;0;0;0;0;0;0;0
2005;I;060007;Adolfo Alsina;;Unidad Sanitaria Murature;Municipal;0;510;0;0;0;0;0;0;0;0;0;0;0;0
2005;I;060007;Adolfo Alsina;;Unidad Sanitaria Barrio Arturo Illia;Municipal;0;3337;0;0;0;0;0;0;0;0;0;0;0;0
2005;I;060007;Adolfo Alsina;;Unidad Sanitaria Villa Goldberg;Municipal;0;3726;0;0;0;0;0;0;0;0;0;0;0;0
2005;I;060014;Adolfo Gonzales Chaves;;Hospital Local General A. Elicagaray;Municipal;4852;30725;6975;0;1231;23096;63;17246;75;8800;7;46;20;4
2005;I;060014;Adolfo Gonzales Chaves;;Unidad Sanitaria Dr. Madueño;Municipal;786;9771;2013;0;166;10585;29;7936;75;4494;27;12;6;7
2005;I;060014;Adolfo Gonzales Chaves;;Sala de Primeros Auxilios de J. E. Barra;Municipal;351;460;0;0;0;0;0;0;0;0;0;0;0;0
2005;I;060014;Adolfo Gonzales Chaves;;Centro de Salud Municipal N° 1;Municipal;0;3043;0;0;0;0;0;0;0;0;0;0;0;0
2005;I;060056;Bahía Blanca;;Hospital Interzonal General Dr. J. Penna;Provincial;12413;158269;11013;0;11142;113690;311;94244;83;82320;7;379;36;3
2005;I;060056;Bahía Blanca;;Hospital Municipal Dr. Leónidas Lucero;Municipal;5178;212298;5795;0;7472;43303;119;33477;77;30484;4;459;63;6
2005;I;060056;Bahía Blanca;;Unidad Sanitaria Tiro Federal;Municipal;0;1492;122;0;0;0;0;0;0;0;0;0;0;0
